Class,distance_thumb_index,distance_thumb_middle,distance_thumb_ring,distance_thumb_little,distance_index_middle,distance_index_middle_dip,distance_ring_middle
No gesture detected,0.10026101017524205,0.14986381842324872,0.16356220645342276,0.16959313160825096,0.05715344054259779,0.04906154428743082,0.03747725743482064
Play/Pause,0.028004772617505017,0.1476518348382568,0.1619492797224676,0.17431095077963177,0.12206172901584053,0.10050348511119549,0.040404392551831016
Stop,0.10308106325149112,0.03287688820443801,0.15247908088994833,0.17056969392324636,0.09445172071246216,0.07816729352759123,0.12671357451881288
Next Track,0.13129210627898869,0.15997308787567502,0.04179315021403972,0.13762997572821914,0.08665854097463754,0.06883388200329416,0.14059695468460492
Previous Track,0.14870073760096783,0.1658926325861327,0.15102061179370455,0.030155262287435442,0.07797237113180001,0.06566258786708529,0.064525140788619
Volume Up,0.15738348310319222,0.19578302972355133,0.22653387900900207,0.22931328283900368,0.039553322352013025,0.02742111901553531,0.0754187255087921
Volume Down,0.1372106487397426,0.196496127858171,0.20304046645891474,0.21010645958959664,0.0794163264863976,0.06772493526862793,0.0267747124431704
