Class_Number,Class_Name,Class_Prior
0,No gesture detected,0.26541554959785524
1,Play/Pause,0.13672922252010725
2,Stop,0.13404825737265416
3,Next Track,0.12734584450402145
4,Previous Track,0.11126005361930295
5,Volume Up,0.12064343163538874
6,Volume Down,0.10455764075067024
